Neighborhood;BldClassif;YearBuilt;GrossSqFt;GrossIncomeSqFt;MarketValueperSqFt
0;0;1926;239121;34;158
0;1;1909;51387;36.5;170
0;1;1911;167448;35.8;167
1;2;1910;9530;41;201
2;0;1923;182200;31.8;148
3;1;1925;66492;25;104
1;1;1918;43339;38;177
4;1;1923;150782;25.7;107
4;1;1960;320600;32;149
3;1;1924;157300;22;91
5;2;1911;40320;38.4;189
4;1;1951;210000;32.5;151
3;2;1920;8323;23;95
4;1;1928;67882;31.9;149
2;1;1900;44586;33.6;157
4;2;1960;9165;32;149
6;2;1910;9475;32;68
2;1;1925;98609;34;158
7;1;1913;61605;22;91
8;1;1923;85290;34;158
9;1;1976;403200;31;66
10;1;1905;53984;12;25.4
11;1;1929;100530;19.29;72
12;2;1900;11215;16;33.9
13;1;1956;1288976;17.85;67
3;1;1925;98097;21;87
12;2;1926;22220;15;31.8
1;1;1917;61437;42.2;207
14;2;1900;21360;42;206
15;2;1910;14765;36.9;172
16;1;1949;42763;15;51
15;2;1900;5224;49.8;245
5;2;1900;14227;34;72
7;1;1926;199483;25;104
5;2;1910;10105;40.1;197
1;1;1910;12220;41.2;202
4;1;1955;184816;32;149
4;2;1928;10135;43;211
17;1;1994;168963;22.42;93
7;1;1920;45774;23;95
9;2;1920;5898;35;163
18;1;1925;540000;15;51
19;1;1929;161462;30;140
1;1;1930;120073;43.6;214
5;1;1900;40180;30.9;144
14;2;1900;9392;36;167
7;1;1940;24560;28;116
20;1;1955;126300;29;135
4;1;1952;254928;30;140
20;0;1900;43073;31;144
4;1;1937;36432;35;163
21;1;1962;187972;26;107
11;2;1920;11670;18.35;38.9
1;1;1938;79341;40;197
3;1;1926;145625;18.5;69
4;1;1927;159372;25.8;107
4;1;1957;49075;34;158
7;1;1916;97685;25;103
1;1;1964;88231;32;150
15;2;1911;6175;38.1;177
12;1;1916;75679;13;27.6
3;2;1910;21900;21;87
9;1;1923;33492;35;163
22;1;1920;48298;16;54
5;2;1920;8656;34;158
1;1;1924;80985;42.2;207
1;1;1925;69509;35;163
20;0;1909;50313;32;149
5;2;1920;18126;37.5;175
22;2;1909;17330;15;31.8
22;2;1907;15175;15;31.8
1;1;1963;139000;33;153
17;2;1925;31746;11.4;24.16
4;2;1920;10465;40;196
16;1;1939;87400;14;43.6
